millis,stamp,datetime,motion_sensor_1,motion_sensor_2,temperature,sound_digital
335998,1569521154,2019/9/26 18:5:54,0,0,25.4,0
336999,1569521155,2019/9/26 18:5:55,0,0,25.3,0
337999,1569521156,2019/9/26 18:5:56,0,0,25.3,0
338999,1569521157,2019/9/26 18:5:57,0,0,25.3,0
339999,1569521158,2019/9/26 18:5:58,0,1,25.3,0
341999,1569521160,2019/9/26 18:6:0,0,0,25.3,0
342999,1569521161,2019/9/26 18:6:1,0,0,25.3,0
344000,1569521162,2019/9/26 18:6:2,0,0,25.3,0
344999,1569521163,2019/9/26 18:6:3,0,1,25.3,0
346999,1569521165,2019/9/26 18:6:5,0,0,25.3,0
348000,1569521166,2019/9/26 18:6:6,0,0,25.3,0
348999,1569521167,2019/9/26 18:6:7,0,0,25.3,0
349999,1569521168,2019/9/26 18:6:8,0,0,25.2,0
350999,1569521169,2019/9/26 18:6:9,0,0,25.2,0
351998,1569521170,2019/9/26 18:6:10,0,1,25.2,0
353999,1569521172,2019/9/26 18:6:12,0,0,25.2,0
354999,1569521173,2019/9/26 18:6:13,0,0,25.2,0
355999,1569521174,2019/9/26 18:6:14,0,0,25.2,0
356999,1569521175,2019/9/26 18:6:15,0,0,25.2,0
357999,1569521176,2019/9/26 18:6:16,0,0,25.2,0
358999,1569521177,2019/9/26 18:6:17,0,1,25.2,0
360999,1569521179,2019/9/26 18:6:19,0,0,25.2,0
361999,1569521180,2019/9/26 18:6:20,0,0,25.2,0
362999,1569521181,2019/9/26 18:6:21,0,0,25.2,0
364000,1569521182,2019/9/26 18:6:22,0,0,25.2,0
364998,1569521183,2019/9/26 18:6:23,0,0,25.2,0
366000,1569521184,2019/9/26 18:6:24,0,0,25.2,0
366999,1569521185,2019/9/26 18:6:25,0,0,25.1,0
368000,1569521186,2019/9/26 18:6:26,0,0,25.1,0
368999,1569521187,2019/9/26 18:6:27,0,0,25.1,0
369999,1569521188,2019/9/26 18:6:28,0,0,25.1,0
370999,1569521189,2019/9/26 18:6:29,0,0,25.1,0
371999,1569521190,2019/9/26 18:6:30,0,0,25.1,0
373000,1569521191,2019/9/26 18:6:31,0,0,25.1,0
373998,1569521192,2019/9/26 18:6:32,0,0,25.1,0
375000,1569521193,2019/9/26 18:6:33,0,1,25.1,0
376999,1569521195,2019/9/26 18:6:35,0,0,25,0
378000,1569521196,2019/9/26 18:6:36,0,0,25,0
378999,1569521198,2019/9/26 18:6:38,0,1,25,0
380999,1569521200,2019/9/26 18:6:40,0,0,25,0
382000,1569521201,2019/9/26 18:6:41,0,0,25,0
383000,1569521202,2019/9/26 18:6:42,0,0,25,0
383998,1569521203,2019/9/26 18:6:43,0,0,25,0
384999,1569521204,2019/9/26 18:6:44,0,0,25,0
385998,1569521205,2019/9/26 18:6:45,0,0,25,0
387000,1569521206,2019/9/26 18:6:46,0,0,25,0
387998,1569521207,2019/9/26 18:6:47,0,0,25,0
389000,1569521208,2019/9/26 18:6:48,0,0,25,0
389998,1569521209,2019/9/26 18:6:49,0,0,25,0
390999,1569521210,2019/9/26 18:6:50,0,0,24.9,0
391999,1569521211,2019/9/26 18:6:51,0,0,24.9,0
392999,1569521212,2019/9/26 18:6:52,0,0,24.9,0
393999,1569521213,2019/9/26 18:6:53,0,0,24.9,0
394999,1569521214,2019/9/26 18:6:54,0,0,24.9,0
395999,1569521215,2019/9/26 18:6:55,0,0,24.9,0
396999,1569521216,2019/9/26 18:6:56,0,0,24.9,0
397999,1569521217,2019/9/26 18:6:57,0,0,24.9,0
399000,1569521218,2019/9/26 18:6:58,0,0,24.9,0
399998,1569521219,2019/9/26 18:6:59,0,0,24.9,0
400999,1569521220,2019/9/26 18:7:0,0,0,24.9,0
401999,1569521221,2019/9/26 18:7:1,0,0,24.9,0
402999,1569521222,2019/9/26 18:7:2,0,0,24.8,0
403999,1569521223,2019/9/26 18:7:3,0,0,24.8,0
405000,1569521224,2019/9/26 18:7:4,0,0,24.8,0
405999,1569521225,2019/9/26 18:7:5,0,0,24.8,0
407000,1569521226,2019/9/26 18:7:6,0,0,24.8,0
407999,1569521227,2019/9/26 18:7:7,0,0,24.8,0
408998,1569521228,2019/9/26 18:7:8,0,0,24.8,0
409999,1569521229,2019/9/26 18:7:9,0,0,24.8,0
410998,1569521230,2019/9/26 18:7:10,0,0,24.8,0
412000,1569521231,2019/9/26 18:7:11,0,0,24.8,0
412998,1569521232,2019/9/26 18:7:12,0,0,24.8,0
414000,1569521233,2019/9/26 18:7:13,0,0,24.8,0
414999,1569521234,2019/9/26 18:7:14,0,0,24.8,0
415998,1569521235,2019/9/26 18:7:15,0,0,24.8,0
417000,1569521236,2019/9/26 18:7:16,0,0,24.8,0
417999,1569521237,2019/9/26 18:7:17,0,0,24.8,0
418999,1569521238,2019/9/26 18:7:18,0,1,24.8,0
420999,1569521240,2019/9/26 18:7:20,0,0,24.8,0
421999,1569521241,2019/9/26 18:7:21,0,0,24.8,0
422999,1569521242,2019/9/26 18:7:22,0,0,24.8,0
423999,1569521243,2019/9/26 18:7:23,0,0,24.8,0
424998,1569521244,2019/9/26 18:7:24,0,0,24.8,0
425999,1569521245,2019/9/26 18:7:25,0,0,24.8,0
426998,1569521246,2019/9/26 18:7:26,0,0,24.8,0
428000,1569521247,2019/9/26 18:7:27,0,0,24.8,0
428999,1569521248,2019/9/26 18:7:28,0,0,24.8,0
429999,1569521249,2019/9/26 18:7:29,0,0,24.8,0
431000,1569521250,2019/9/26 18:7:30,0,0,24.8,0
432000,1569521251,2019/9/26 18:7:31,0,0,24.8,0
433000,1569521252,2019/9/26 18:7:32,0,0,24.8,0
433998,1569521253,2019/9/26 18:7:33,0,0,24.8,0
435000,1569521254,2019/9/26 18:7:34,0,0,24.8,0
435998,1569521255,2019/9/26 18:7:35,0,0,24.8,0
437000,1569521256,2019/9/26 18:7:36,0,0,24.8,0
437998,1569521257,2019/9/26 18:7:37,0,0,24.8,0
439000,1569521258,2019/9/26 18:7:38,0,0,24.8,0
439999,1569521259,2019/9/26 18:7:39,0,0,24.8,0
440998,1569521260,2019/9/26 18:7:40,0,0,24.8,0
442000,1569521261,2019/9/26 18:7:41,0,0,24.8,0
442998,1569521262,2019/9/26 18:7:42,0,0,24.8,0
444000,1569521263,2019/9/26 18:7:43,0,0,24.8,0
444998,1569521264,2019/9/26 18:7:44,0,0,24.8,0
446000,1569521265,2019/9/26 18:7:45,0,0,24.8,0
446998,1569521266,2019/9/26 18:7:46,0,0,24.8,0
447998,1569521267,2019/9/26 18:7:47,0,0,24.8,0
448999,1569521268,2019/9/26 18:7:48,0,0,24.8,0
449999,1569521269,2019/9/26 18:7:49,0,0,24.8,0
450999,1569521270,2019/9/26 18:7:50,0,0,24.8,0
451998,1569521271,2019/9/26 18:7:51,0,0,24.8,0
453000,1569521272,2019/9/26 18:7:52,0,0,24.8,0
453999,1569521273,2019/9/26 18:7:53,0,0,24.8,0
455000,1569521274,2019/9/26 18:7:54,0,0,24.8,0
455999,1569521275,2019/9/26 18:7:55,0,0,24.8,0
456998,1569521276,2019/9/26 18:7:56,0,0,24.8,0
458000,1569521277,2019/9/26 18:7:57,0,0,24.8,0
458998,1569521278,2019/9/26 18:7:58,0,0,24.8,0
460000,1569521279,2019/9/26 18:7:59,0,0,24.8,0
460999,1569521280,2019/9/26 18:8:0,0,0,24.8,0
461999,1569521281,2019/9/26 18:8:1,0,0,24.8,0
463000,1569521282,2019/9/26 18:8:2,0,0,24.8,0
463998,1569521283,2019/9/26 18:8:3,0,0,24.8,0
465000,1569521284,2019/9/26 18:8:4,0,0,24.8,0
465999,1569521285,2019/9/26 18:8:5,0,0,24.8,0
467000,1569521286,2019/9/26 18:8:6,0,0,24.8,0
467999,1569521287,2019/9/26 18:8:7,0,0,24.8,0
468999,1569521288,2019/9/26 18:8:8,0,0,24.8,0
469999,1569521289,2019/9/26 18:8:9,0,0,24.8,0
470999,1569521290,2019/9/26 18:8:10,0,0,24.8,0
471999,1569521291,2019/9/26 18:8:11,0,0,24.8,0
472999,1569521292,2019/9/26 18:8:12,0,1,24.8,0
474999,1569521294,2019/9/26 18:8:14,0,0,24.8,0
476000,1569521295,2019/9/26 18:8:15,0,0,24.8,0
476999,1569521296,2019/9/26 18:8:16,0,0,24.8,0
478000,1569521297,2019/9/26 18:8:17,0,1,24.8,0
480000,1569521299,2019/9/26 18:8:19,0,0,24.8,0
480999,1569521301,2019/9/26 18:8:21,0,0,24.8,0
481999,1569521302,2019/9/26 18:8:22,0,0,24.7,0
482999,1569521303,2019/9/26 18:8:23,0,0,24.7,0
483998,1569521304,2019/9/26 18:8:24,0,0,24.7,0
485000,1569521305,2019/9/26 18:8:25,0,0,24.7,0
485998,1569521306,2019/9/26 18:8:26,0,1,24.7,0
487998,1569521308,2019/9/26 18:8:28,0,0,24.7,0
488999,1569521309,2019/9/26 18:8:29,0,0,24.7,0
489999,1569521310,2019/9/26 18:8:30,0,0,24.7,0
490999,1569521311,2019/9/26 18:8:31,0,0,24.6,0
492000,1569521312,2019/9/26 18:8:32,0,1,24.6,0
493999,1569521314,2019/9/26 18:8:34,0,0,24.6,0
494998,1569521315,2019/9/26 18:8:35,0,0,24.6,0
496000,1569521316,2019/9/26 18:8:36,0,0,24.6,0
497000,1569521317,2019/9/26 18:8:37,0,0,24.6,0
497999,1569521318,2019/9/26 18:8:38,0,0,24.6,0
498999,1569521319,2019/9/26 18:8:39,0,0,24.6,0
499998,1569521320,2019/9/26 18:8:40,0,0,24.5,0
500999,1569521321,2019/9/26 18:8:41,0,0,24.5,0
501999,1569521322,2019/9/26 18:8:42,0,0,24.5,0
502999,1569521323,2019/9/26 18:8:43,0,0,24.5,0
503999,1569521324,2019/9/26 18:8:44,0,1,24.5,0
505999,1569521326,2019/9/26 18:8:46,0,0,24.5,0
506999,1569521327,2019/9/26 18:8:47,0,0,24.5,0
507999,1569521328,2019/9/26 18:8:48,0,0,24.5,0
508998,1569521329,2019/9/26 18:8:49,0,0,24.5,0
510000,1569521330,2019/9/26 18:8:50,0,0,24.5,0
511000,1569521331,2019/9/26 18:8:51,0,0,24.5,0
512000,1569521332,2019/9/26 18:8:52,0,0,24.5,0
512999,1569521333,2019/9/26 18:8:53,0,0,24.5,0
